# run,dgmsl(mm)
0,674
1,123
2,423
4,551
5,591
6,764
7,573
8,454
9,766
10,123
11,285
12,898
13,437
14,732
15,-25
16,489
17,455
18,343
19,159
20,583
21,117
22,167
23,675
24,1002
25,441
26,636
27,886
28,187
29,257
31,923
32,436
33,727
34,382
35,488
36,344
37,572
38,787
39,363
40,240
41,420
42,1071
43,259
44,929
45,869
46,1055
47,906
48,1021
49,334
50,611
51,742
52,474
53,244
54,175
55,584
56,303
57,168
58,1072
59,510
60,273
61,808
62,569
63,371
64,682
65,485
66,298
67,1076
68,523
69,899
70,353
71,1078
72,656
73,585
74,506
75,635
76,1019
77,355
78,188
80,458
81,325
82,1169
83,391
84,357
85,923
86,420
87,598
88,453
89,-32
90,467
91,626
92,941
93,459
94,722
95,478
96,582
97,432
98,312
99,1092
100,769
101,805
102,1089
103,761
104,1147
105,573
106,171
107,489
108,671
109,715
110,328
111,260
112,622
113,498
115,378
116,340
117,524
118,271
119,326
120,809
121,888
122,369
123,407
124,418
125,466
126,618
127,203
128,697
129,457
130,466
131,174
132,203
133,306
134,485
135,159
136,335
137,941
138,362
139,734
140,586
141,428
142,790
143,723
144,723
145,964
146,442
147,432
148,612
149,594
150,468
151,904
152,226
153,229
154,553
156,629
157,513
158,1058
159,886
160,605
161,662
162,44
163,817
164,826
166,686
167,676
168,113
169,274
170,523
171,523
172,581
173,505
174,662
175,527
176,557
177,594
178,437
179,694
180,671
181,868
182,824
183,470
184,527
185,220
186,378
187,176
188,993
189,898
190,311
191,332
192,902
193,451
194,799
195,464
196,1072
197,338
198,527
199,486
200,577
201,482
202,233
203,588
204,329
205,734
206,488
207,307
208,607
209,240
210,475
211,403
212,67
213,1050
214,1014
215,1078
216,1400
217,417
218,706
219,266
220,482
221,426
222,699
223,996
224,1167
225,251
226,457
227,228
228,635
229,721
231,988
232,517
233,825
234,469
235,453
236,325
237,126
238,492
239,754
240,441
241,729
242,590
243,78
244,682
245,425
246,775
247,193
248,869
249,449
250,893
251,476
252,394
253,602
254,624
255,77
256,1234
257,546
258,566
259,846
260,573
261,515
262,911
263,405
264,605
265,826
266,866
267,210
268,727
269,866
270,99
271,866
272,602
273,692
274,399
275,931
276,417
277,337
278,300
279,316
280,121
281,615
282,321
283,673
284,667
285,214
286,384
287,638
288,642
289,386
290,179
291,687
292,244
293,902
294,178
295,532
296,682
297,999
298,595
299,916
300,389
301,210
302,279
303,572
304,634
305,471
306,274
307,501
308,533
309,541
310,725
311,1281
312,585
313,855
314,825
315,178
316,915
317,486
318,332
319,125
320,579
321,359
322,736
323,760
324,302
325,958
326,604
327,161
328,322
329,212
331,741
332,923
333,360
334,375
335,630
336,732
337,968
339,281
340,207
341,551
342,588
343,272
344,847
345,674
346,1104
347,362
348,552
349,266
350,1100
351,401
352,561
353,891
354,651
355,457
356,764
358,679
359,452
360,844
361,786
362,1016
363,638
364,-4
365,360
366,804
367,1038
368,917
370,584
371,777
372,870
373,549
374,595
376,856
377,405
378,176
379,505
380,408
381,583
382,1372
383,263
384,360
385,347
386,622
387,164
388,886
389,718
390,117
391,569
392,283
393,404
394,852
395,311
396,783
397,292
398,866
399,871
400,639
401,296
402,690
404,491
405,162
406,404
407,172
408,1059
409,578
410,478
411,684
412,1232
413,181
415,290
416,914
417,907
418,223
419,333
420,546
421,272
422,690
423,1356
424,608
425,160
426,690
427,746
428,383
429,439
430,473
431,338
432,382
433,590
434,857
435,716
436,549
437,148
438,446
439,286
440,376
441,877
442,297
445,347
446,157
447,606
448,253
449,357
450,556
451,646
452,1056
453,830
454,162
455,403
456,571
457,500
458,677
459,693
460,350
461,91
462,748
463,803
464,314
465,715
466,675
467,681
468,853
469,170
470,366
471,813
472,737
473,763
474,606
475,659
476,464
477,755
478,679
479,369
480,416
481,299
482,807
483,518
484,610
485,921
486,426
487,693
488,903
489,504
490,59
491,297
492,780
493,383
494,260
495,925
496,1162
497,744
498,352
499,286
