,GCM,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIAE,BDEF,TLR,FIRN,PDD,OCH,GCM,SB
CTRL,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
C0.2K,20,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
W0.7K,10,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
W1.2K,11,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
W1.5K,12,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
W2.0K,13,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
CTRL-CAP6,-2,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,0
NTRL-CAP6,-2,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,0.0,1.0,0.0,0,0,0
NISO-CAP6,-2,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,0.0,1.0,0.0,0,0,0
SIA,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,1.0,0.0,0,0,1
NISO,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,-1.0,6.0,1.0,0.0,0,0,0
NTRL,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,0.0,1.0,0.0,0,0,0
NFRN,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,1.25,1.0,6.0,0.0,0.0,0,0,0
ENH,-1,8.0,3.0,6.0,0.47,0.0,0.0,0.0,1.0,0.6,3.0,1.0,6.0,1.0,0.0,0,0,0
